crypto_id,date,price,market_cap,volume
ethereum,2025-10-31,3802.2953645331804,458793317252.3975,36685058456.47925
ethereum,2025-11-01,3847.298177365196,464417354244.41925,32814597904.07948
ethereum,2025-11-02,3872.2118961957594,467387016348.6048,12518543682.642963
ethereum,2025-11-03,3910.0947691627284,471549372393.21094,15511617607.50217
ethereum,2025-11-04,3600.71550248779,434149656995.1001,47914058739.68866
ethereum,2025-11-05,3296.7437604313104,397489340792.3503,68784285690.87129
ethereum,2025-11-06,3427.6905913706814,413918683595.6081,44374527842.85683
ethereum,2025-11-07,3308.918164921951,399007356776.52936,33880974985.82207
ethereum,2025-11-08,3434.3512285299594,414691375367.5941,38972602140.84989
ethereum,2025-11-09,3401.4594003397083,410599145957.86835,20876971421.901554
ethereum,2025-11-10,3576.2547046627064,431294295578.2351,25994213654.36895
ethereum,2025-11-11,3564.6105957999334,430271977432.51276,31866555691.672695
ethereum,2025-11-12,3416.781328259322,411969837331.5966,36501187500.23736
ethereum,2025-11-13,3409.6144555411624,411695018306.39923,31722707429.919136
ethereum,2025-11-14,3235.7276362968546,392354946592.3496,47957135381.43061
ethereum,2025-11-14,3191.1416250128386,386858944231.1333,51777800721.59597
binancecoin,2025-08-17,839.0566611983465,116636178954.74178,1194989933.08169
binancecoin,2025-08-18,856.9424560582937,119370446719.06827,1237130937.218746
binancecoin,2025-08-19,848.2298792758197,118191079529.68217,1704077250.468268
binancecoin,2025-08-20,823.4566682430556,114695398769.23634,1577237801.835062
binancecoin,2025-08-21,870.0388548973078,121327396964.83464,2208912960.725439
binancecoin,2025-08-22,838.3671602294102,116703457347.89297,1808794551.8255882
binancecoin,2025-08-23,899.0447590707095,125228722775.30713,2403982643.652437
binancecoin,2025-08-24,880.2145462822662,122601551471.5355,1414960204.0565426
binancecoin,2025-08-25,876.0729413672346,122045654251.52823,1862920203.9639418
binancecoin,2025-08-26,840.2868104582814,117052413550.03337,1739476008.2601202
binancecoin,2025-08-27,864.1213024474413,120359854645.80617,1565511904.048617
binancecoin,2025-08-28,856.0552312979237,119223186511.82414,1274918054.4266574
binancecoin,2025-08-29,874.7487534677291,121754972275.09772,1665085112.0571768
binancecoin,2025-08-30,863.6575485254209,120215499930.77438,1531055975.6867678
binancecoin,2025-08-31,861.923469050824,119967599893.59285,732100562.508858
binancecoin,2025-09-01,857.819601972643,119395441256.787,721993472.2873288
binancecoin,2025-09-02,845.916487927506,117730905063.68185,1648305723.808358
binancecoin,2025-09-03,851.6937445280856,118533105628.61053,1322521810.3871567
binancecoin,2025-09-04,855.1110256828161,119019289721.41235,859226298.816796
binancecoin,2025-09-05,843.6735934362805,117468538515.54077,916745033.758285
binancecoin,2025-09-06,849.7184902459278,118277372904.95659,987362929.2356554
binancecoin,2025-09-07,861.6639369838142,120001345335.90672,841058634.1628499
binancecoin,2025-09-08,881.3845363246559,122834289041.01732,923155920.7210786
binancecoin,2025-09-09,878.2339242329539,122234712958.68347,1204256444.2143743
binancecoin,2025-09-10,879.833817211316,122413962295.55894,1062899360.6770087
binancecoin,2025-09-11,893.578793274879,124408078560.3618,1801977169.8109913
binancecoin,2025-09-12,902.876846974473,125610829851.88258,1258971255.576734
binancecoin,2025-09-13,925.1660418381477,128802515865.21457,1589605226.0339465
binancecoin,2025-09-14,933.8971704994946,129905114546.37772,1640112370.864308
binancecoin,2025-09-15,926.8412817390542,128929854315.27986,1263377077.0891886
binancecoin,2025-09-16,919.2250351484705,127942167402.54544,1372293507.033996
binancecoin,2025-09-17,955.3487499241552,132963284625.94852,1924151991.340504
binancecoin,2025-09-18,991.3973181432295,137968272147.62173,2455896970.1542788
binancecoin,2025-09-19,982.076570691383,136761037889.76804,2514178578.723519
binancecoin,2025-09-20,982.6879738189483,136677706976.03806,2194041676.02945
binancecoin,2025-09-21,1042.406078066426,145119356424.55237,2616933161.676639
binancecoin,2025-09-22,1048.5649851048527,145982985276.6282,3053430923.1205482
binancecoin,2025-09-23,992.3881905006706,138105394316.3322,3676969354.8492184
binancecoin,2025-09-24,1017.4645009307637,141632015383.78027,2922340144.9194756
binancecoin,2025-09-25,1018.067792712729,141670017336.2046,2488968495.0372467
binancecoin,2025-09-26,944.4003758447785,131563762651.00531,3413861577.3788505
binancecoin,2025-09-27,960.6805874196078,133586426744.2321,2464135246.7217975
binancecoin,2025-09-28,968.6806715896132,134835789879.10022,1580796543.5155156
binancecoin,2025-09-29,993.2079048442275,138219349626.7409,1062584120.7976861
binancecoin,2025-09-30,1030.030963111487,143304041034.04755,2136154304.7482347
binancecoin,2025-10-01,1008.9225311714104,140376471979.115,1848197871.390849
binancecoin,2025-10-02,1025.8187850123247,142809283859.25217,1942259015.308578
binancecoin,2025-10-03,1090.3115640663682,151723439463.9026,2670147496.089171
binancecoin,2025-10-04,1190.0540938314145,164926971828.80228,4899140228.342193
binancecoin,2025-10-05,1149.536376093483,160006780977.96976,1730597418.8329225
binancecoin,2025-10-06,1165.4778023162069,162064988745.73065,2435796155.3750944
binancecoin,2025-10-07,1224.574210222444,169960274835.35895,4284366311.1491776
binancecoin,2025-10-08,1311.712914691701,182467251280.33548,9739890116.464443
binancecoin,2025-10-09,1306.4812320510532,181269646560.23404,5632418876.319237
binancecoin,2025-10-10,1255.8786646242372,174774998279.26852,6718668117.932197
binancecoin,2025-10-11,1110.8141755974673,155757356924.0352,8685141976.344122
binancecoin,2025-10-12,1138.1246823442061,158484360795.37354,6948428633.056303
binancecoin,2025-10-13,1298.7908005975073,180775585852.16452,9048144207.208094
binancecoin,2025-10-14,1293.0722313476617,180018433779.75974,9460068400.641727
binancecoin,2025-10-15,1212.283351974494,168894485551.0376,8825438559.50392
binancecoin,2025-10-16,1161.734804798178,161921597426.4193,4682445531.806146
binancecoin,2025-10-17,1143.731369922843,159172508587.92465,4415901608.8116665
binancecoin,2025-10-18,1071.5486432574182,149337696969.78973,5491967100.574252
binancecoin,2025-10-19,1092.456873698318,152025648190.85864,2404645661.2866297
binancecoin,2025-10-20,1109.7463758132928,154383839123.48035,2451498835.8070607
binancecoin,2025-10-21,1100.594219041398,153232298626.44522,3059042679.759334
binancecoin,2025-10-22,1057.8502060144851,147151945156.75046,3312841993.6151514
binancecoin,2025-10-23,1071.3354220022431,149141843205.3591,2524047906.4061713
binancecoin,2025-10-24,1127.358071433892,156747943162.4117,4658465652.115295
binancecoin,2025-10-25,1109.178393744721,154356375659.02368,2264878475.243278
binancecoin,2025-10-26,1116.6415202338756,155309975825.18158,1179990839.9169848
binancecoin,2025-10-27,1136.879092448019,158403748858.5009,1658756855.7714329
binancecoin,2025-10-28,1140.4846092726004,157086987480.81543,3216378789.247939
binancecoin,2025-10-29,1103.595300080196,152007230183.57797,3071983545.353561
binancecoin,2025-10-30,1106.7871126244677,152329610306.33157,3099158245.6172895
binancecoin,2025-10-31,1078.7188521029816,148424523512.72137,3106355168.6806374
binancecoin,2025-11-01,1088.7331766998475,149946680357.30164,3113520722.1821284
binancecoin,2025-11-02,1094.4541628666802,150757802647.79373,1037807355.6051457
binancecoin,2025-11-03,1083.698416513334,149267110348.34732,1031503124.6500415
binancecoin,2025-11-04,992.195531851008,136616004230.74718,3894432183.7340875
binancecoin,2025-11-05,938.891751599157,129239032176.4543,4592001913.653611
binancecoin,2025-11-06,959.9701458776641,132180559948.4775,2676495284.5851297
binancecoin,2025-11-07,948.6793778409456,130609805281.72852,1960406697.5914152
binancecoin,2025-11-08,990.5899790534177,136429471727.4668,2698061350.925921
binancecoin,2025-11-09,989.8862403988059,136375700425.64316,1880988393.9904878
binancecoin,2025-11-10,996.308790029525,137204000714.66489,1718843151.6878853
binancecoin,2025-11-11,991.3653787289568,136571690893.45041,1834279454.1310785
binancecoin,2025-11-12,957.149279725558,131942389294.9387,1720439846.7132306
binancecoin,2025-11-13,952.9170115918621,131225068810.25166,1547574582.8027587
binancecoin,2025-11-14,927.1219876913323,128101915690.26227,2123958787.804254
binancecoin,2025-11-14,923.5057559891778,127385337447.88719,3313394348.0180736
